name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0607,32000,49152,0,0,0.0,2,Running,11176115,11176264,11176120.0
openb-pod-0608,32000,49152,0,0,0.0,2,Running,11931262,11931415,11931265.0
openb-pod-0609,32000,49152,0,0,0.0,2,Running,12335001,12335153,12335005.0
openb-pod-0610,12500,57344,0,0,0.0,1,Running,11328518,11329471,11328554.0
openb-pod-0611,8000,30517,0,0,0.0,2,Running,10337703,10351349,10337703.0
openb-pod-0612,12500,57344,0,0,0.0,1,Running,12174371,12174975,12174373.0
openb-pod-0613,8000,30517,0,0,0.0,2,Running,12065693,12090823,12065693.0
openb-pod-0614,12500,57344,0,0,0.0,1,Running,11498585,11498646,11498587.0
openb-pod-0615,12500,57344,0,0,0.0,1,Running,10703900,10704552,10703933.0
openb-pod-0616,12500,57344,0,0,0.0,1,Running,11336520,11337331,11336525.0
openb-pod-0617,32000,49152,0,0,0.0,2,Running,11316323,11316474,11316326.0
openb-pod-0618,12500,57344,0,0,0.0,1,Running,12524197,12524844,12524234.0
openb-pod-0619,15400,51200,0,0,0.0,1,Running,10807496,10809602,10807499.0
openb-pod-0620,8000,30517,0,0,0.0,2,Running,11000033,11003858,11000033.0
openb-pod-0621,12500,57344,0,0,0.0,1,Running,10789248,10789761,10789285.0
openb-pod-0622,16500,51200,0,0,0.0,1,Running,10699813,10700357,10699815.0
openb-pod-0623,8000,30517,0,0,0.0,2,Running,12118355,12120384,12118355.0
openb-pod-0624,12500,57344,0,0,0.0,1,Running,10277517,10280757,10277554.0
openb-pod-0625,12500,57344,0,0,0.0,1,Running,12707651,12707800,12707683.0
openb-pod-0626,12500,57344,0,0,0.0,1,Running,12095048,12097283,12095050.0
openb-pod-0627,16500,51200,0,0,0.0,1,Running,10493917,10498769,10493951.0
openb-pod-0628,32000,32768,0,0,0.0,1,Failed,10804259,10807880,10804261.0
openb-pod-0629,12500,57344,0,0,0.0,1,Running,10530620,10533028,10530655.0
openb-pod-0630,12500,57344,0,0,0.0,1,Running,12172549,12173311,12172551.0
openb-pod-0631,15400,51200,0,0,0.0,1,Running,12836356,12838288,12836358.0
openb-pod-0632,12500,57344,0,0,0.0,1,Running,11853218,11853308,11853253.0
openb-pod-0633,15400,51200,0,0,0.0,1,Running,10963193,10963268,10963195.0
openb-pod-0634,15400,51200,0,0,0.0,1,Running,11578283,11579717,11578316.0
openb-pod-0635,15400,51200,0,0,0.0,1,Running,12617967,12619750,12617968.0
openb-pod-0636,8000,30517,0,0,0.0,2,Running,11950804,11952120,11950804.0
openb-pod-0637,32000,49152,0,0,0.0,2,Running,10987417,10987578,10987422.0
openb-pod-0638,12500,57344,0,0,0.0,1,Running,11289750,11290863,11289753.0
openb-pod-0639,8000,30517,0,0,0.0,2,Running,11172666,11175360,11172667.0
openb-pod-0640,12500,57344,0,0,0.0,1,Running,11570760,11570855,11570761.0
openb-pod-0641,32000,49152,0,0,0.0,2,Running,12704913,12706891,12704914.0
openb-pod-0642,15400,51200,0,0,0.0,1,Running,10881133,10882055,10881136.0
openb-pod-0643,15400,51200,0,0,0.0,1,Running,12619115,12619266,12619151.0
openb-pod-0644,15400,51200,0,0,0.0,1,Running,10733527,10733797,10733566.0
openb-pod-0645,15400,51200,0,0,0.0,1,Running,10802404,10803837,10802409.0
openb-pod-0646,8000,30517,0,0,0.0,2,Running,11374484,11402848,11374486.0
openb-pod-0647,12500,57344,0,0,0.0,1,Running,10716963,10717199,10717000.0
openb-pod-0648,8000,30517,0,0,0.0,2,Running,12065679,12090759,12065679.0
openb-pod-0649,16500,51200,0,0,0.0,1,Running,12627409,12629841,12627410.0
openb-pod-0650,12500,57344,0,0,0.0,1,Running,12621264,12621585,12621299.0
openb-pod-0651,12500,57344,0,0,0.0,1,Running,12430923,12431710,12430925.0
openb-pod-0652,32000,49152,0,0,0.0,2,Running,11010827,11010979,11010829.0
openb-pod-0653,16000,16384,0,0,0.0,1,Running,10531439,10568911,10531440.0
openb-pod-0654,12500,57344,0,0,0.0,1,Running,11934144,11934249,11934145.0
openb-pod-0655,8000,30517,0,0,0.0,2,Running,12814258,12815888,12814261.0
openb-pod-0656,12500,57344,0,0,0.0,1,Running,10717382,10717600,10717384.0
openb-pod-0657,12500,57344,0,0,0.0,1,Running,10348096,10348740,10348098.0
openb-pod-0658,32000,49152,0,0,0.0,2,Running,11034173,11034352,11034176.0
openb-pod-0659,12500,57344,0,0,0.0,1,Running,10344375,10344757,10344378.0
openb-pod-0660,12500,57344,0,0,0.0,1,Running,10644349,10644970,10644351.0
openb-pod-0661,8000,30517,0,0,0.0,2,Running,11201632,11222202,11201633.0
openb-pod-0662,16500,51200,0,0,0.0,1,Running,12627409,12629841,12627410.0
openb-pod-0663,12500,57344,0,0,0.0,1,Running,12005711,12005838,12005746.0
openb-pod-0664,12500,57344,0,0,0.0,1,Running,10451527,10451784,10451560.0
openb-pod-0665,8000,30517,0,0,0.0,2,Running,12324833,12338169,12324833.0
openb-pod-0666,15400,51200,0,0,0.0,1,Running,11246303,11247691,11246340.0
openb-pod-0667,32000,49152,0,0,0.0,2,Running,11340817,11341000,11340820.0
openb-pod-0668,16500,51200,0,0,0.0,1,Running,10495959,10497989,10495962.0
openb-pod-0669,32000,49152,0,0,0.0,2,Running,11246157,11246342,11246166.0
openb-pod-0670,8000,30517,0,0,0.0,2,Running,12643380,12644845,12643380.0
openb-pod-0671,12500,57344,0,0,0.0,1,Running,12095145,12095280,12095181.0
openb-pod-0672,32000,49152,0,0,0.0,2,Running,11931262,11931446,11931264.0
openb-pod-0673,15400,51200,0,0,0.0,1,Running,10985470,10990240,10985506.0
openb-pod-0674,32000,49152,0,0,0.0,2,Running,10775432,10775614,10775437.0
openb-pod-0675,32000,49152,0,0,0.0,2,Running,11293240,11293391,11293243.0
openb-pod-0676,12500,57344,0,0,0.0,1,Running,10783858,10787420,10783861.0
openb-pod-0677,32000,49152,0,0,0.0,2,Running,10727897,10728075,10727899.0
openb-pod-0678,8000,30517,0,0,0.0,2,Running,12152041,12154102,12152041.0
openb-pod-0679,15400,51200,0,0,0.0,1,Running,10783498,10783867,10783504.0
