1.433000000000000114e+02,4.091997746279383819e+02
6.129999999999999716e+01,1.831356813342986527e+02
1.000000000000000056e-01,3.162277660168379412e-01
9.759999999999999432e+01,1.659934402987726969e+02
1.920999999999999943e+02,5.511955591661134122e+02
7.820000000000000284e+01,1.706424461980208775e+02
9.199999999999999289e+00,1.851005732628135902e+01
9.329999999999999716e+01,2.310930788905438362e+02
1.939000000000000057e+02,2.673227138372894274e+02
1.300000000000000000e+02,1.874554761951636124e+02
7.379999999999999716e+01,9.421464854257006039e+01
2.039000000000000057e+02,3.398167643500440249e+02
1.523000000000000114e+02,3.336079035834333126e+02
1.348000000000000114e+02,2.435477594048262233e+02
1.889999999999999858e+01,5.292227004453481243e+01
